,Word,Phrase
0,Reminder for daily reporting and attendance on mob app daily 9 00 am, reporting and attendance on mob app
1,How will you remind me let me know,Not Found
2,Can u remind me till 11,Not Found
3,Call at 9 am every day, call
4,Remind me to bid for flights on 13th december at 6 pm, bid for flights
5,Reminder 11am tomorrorw buy bell for papu, buy bell papu
6,Remind me to book b tickets tonight by 10 pm, book b tickets
7,Can you remind me to masturbate, masturbate 1
8,Reminder on invoice preparation, preparation
9,1 alarm at 1 30am please  Ignore the 12 20am one,Not Found
10,One more reminder 2 00 pm  today for meeting, meeting
11,call sagar  5 30 pm, call
12,I m upset vth d reminder service, service
13,Remind me to see  Concert at 7pm, see concert
14,Remind me again after half an hour,Not Found
15,Need a reminder for payment and phone at 2pm, payment and phone
16,Remind me tomorrow 11 am to pack gift for my college sir , pack gift for my college sir
17,Remind me on 1st dec to take appointment of those 2 customer at sanaswadi, take appointment of those 1 customer
18,Remind me to play football at 10 5, play football
19,Weke up alarm I need morning,Not Found
20,Would you remind me to print the log sheet out today, print the log sheet out
21,Cud u pls set up a recuring reminder,Not Found
22,Hey thanks for ur reminder,Not Found
23,Please remind me every Tuesday n Thursday for a meeting at Chopras  at 11 am, a meeting
24,Yes  I ll surely use it  When I need u to remind me something  Thank you,Not Found
25,Make it a everyday schedule,Not Found
26,What an early reminder ,Not Found
27,Remind me to pray daily at noon, pray daily
28,Okk,Not Found
29,Remind me of talking with RICS TODAY AT 11 AM  , talking with RICS
30,Please set this for complete month,Not Found
31,1 jan 11 55,Not Found
32,Remind me to take my friend s car for wash on 12th before she comes back,Not Found
33,Remind me next month 16th for hepatitis B vaccination at 10am, hepatitis b vaccination
34,hieee,Not Found
35,Remind me to attend reception of Kishor Bhai s Son on 28th November, attend
36,Manali sir reminder aata nhi hai, aata nhi hai
37,Cancl,Not Found
38,Thank you Sachin for your reminder ,Not Found
39,Reminder me to take print out, take print out
40,I have to add reminder,Not Found
41,Remind me to renew my insurance of car on 20 11 2017, renew my insurance of car
42,Can the reminder be for 365 days ,Not Found
43,Call means what , call means what
44,Hey good morning,Not Found
45,Plz remind me to go to the gym at 9am, go to the gym
46,Instead of 5 remind me at 5 30,Not Found
47,OK Tomo I want a reminder to b set,Not Found
48,I want to be set, set
49,Plz remind ne,Not Found
50,Hey thanks  Reminder for what exactly , what exactly
51,Hie can u remind me to finish Eis audit by 10 January, finish Eis audit
52,Remaind for dinner at 7 08 on today, dinner
53,It s ok  I ll let you know if I need any help, any help
54,Remind me from daily from today,Not Found
55,Please remind me to take a test at 4 30 pm tomorrow , take a test
56,Then remind me for studying at 3 30 pm, studying
57,Remind me to do my studies, do my studies
58,What is the reminder ,Not Found
59,Tell me something about haptik, haptik
60,Remind me at 830 today   to carry S C O solution home, c o solution
61,Basket saaf krni h remind me on 8 PM tomorrow,Not Found
62,what is the exam timing of bharatiya vidya bhavans clg churchgate for fyba today, exam bharatiya vidya bhavans clg churchgate
63,Reminder me at 9 00 am,Not Found
64,I want to meet my boss at around 3pm  So remind me about it at around 12, meet my boss
65,Can you call me   8106683849,Not Found
66,Thx for reminder,Not Found
67,Please remind me after 2  00 pm for today,Not Found
68,Remind me to watch star gold  9 pm, watch star gold
69,Need reminder,Not Found
70,I need to change that reminder,Not Found
71,Close all the remainder,Not Found
72,Remind me to collect laptop bill NOC from bajaj finance on 10 march, collect laptop bill noc from bajaj finance
73,Do I have any reminders active for me , reminders
74,10 15 am,Not Found
75,there are legal matters for which i need to be present in court for  need to make different reminders, make different
76,Plz remind me go to home nd teck beg, home nd teck beg
77,Please remind me at 8 am,Not Found
78,just set a call and notification reminder,Not Found
79,HI   Could you please set an alarm of 6 00 pm,Not Found
80,Can you please put my reminder in notifications of my mobile, my mobile
81,Can you please remind me for a vaccination at 8 30 pm , a vaccination
82,Can you remind me that I have to send my PPF form and details today  Secondly that I need to book my transit flight to Malaysia,Not Found
83,Remind me at 9  i gotta take drugs, take drugs
84,Can u schedule one more for me ,Not Found
85,Pls remind to mail to Shailendra by 11 pm today, mail to Shailendra
86,Also remind me of wrapping the gift for Samiran at 08 45, wrapping the gift for Samiran
87,Setup reminder,Not Found
88,Hi please remind me to go to doctor on 10th December at 12 30, go to doctor on 10th
89,I want to delete all the reminders set till today, delete all the reminders
90,Please remind me after 5 days to close the Lynda com site, close the Lynda com site
91,Hi  Remind me everyday at 10pm to brush my teeth nd sleep, brush my teeth nd sleep
92,Can u remember me for tablets at 12 at night, tablets
93,Can you set me alarms,Not Found
94,Remind me to talk to ZEROGRAVITY ppl, talk to ZEROGRAVITY ppl
95,ReMind me,Not Found
96,And set a snooze for 4 30 am also,Not Found
97,Ya one more reminder,Not Found
98,The same u shud remind me every day, shud
99,Also remind me to get my bike insured at 11 am tommorow, get my bike insured
100,Remind me to book bus tickets, book bus tickets
101,You can remind me at 3 50am,Not Found
102,Can u remind me to study at 10 00 pm, study
103,Change the reminder to 8 00 am,Not Found
104,Remind me booking cover my love, booking cover my love
105,Remind me i have to pay Lakshya 500 rupees, pay Lakshya 111 rupees
106,Reminder me at 7 25,Not Found
107,Can you remind me about one more thing , one more thing
108,Remind me at 11 am to do my PE project, do my pe project
109,Can you remind me about my Books at 9 50 am, my books
110,Remind me to finishmy snap registration, finishmy snap registration
111,Do I need to enable the reminder gain and again, gain and
112,Remind me to send a mail to Pooja bajaj at 9 in the night, send a mail to pooja bajaj
113,And set 2 remainder also,Not Found
114,Can you set an reminder for me ,Not Found
115,I would need you to remind me of some action items, some action items
116,Remind me about NGO, NGO
117,Pls tell me more about haptik, haptik
118,8 AM,Not Found
119,Thanks i received a call, call
120,Set the schedule,Not Found
121,Remind me in six months,Not Found
122,Another reminder for making a transfer certificate for vihaan, for making a transfer certificate for vihaan
123,Business meeting to Chitradurga on 23 Nov 2016, meeting Chitradurga
124,Set this reminder on 902109077,Not Found
125,Remind me to buy eggs at 9 11 pm today, buy eggs
126,8th may 12 o clock,Not Found
127,Need to set one more alarm,Not Found
128,remind about mastrubating, mastrubating
129,Remind me at 9 15p m  today on 23 december 2016,Not Found
130,Dint get the reminder last time,Not Found
131,Hello Gloria ,Not Found
132,Wish Birthday Name  Rashmitha Date  April 14  2017 Time  11 55 pm,Not Found
133,10 December,Not Found
134,This one remind me to get the box from my friend s place , get the box
135,Remind me for my leave plan for Jan, my leave plan for jan
136,263 pw 10 Pl remind on 6 2 17,Not Found
137,remind me tommorow to fill my loan application, fill my loan application
138,Just remind me to go outside at 4 00 pm, go outside
139,Remind on 22 nov,Not Found
140,Hi can u please remind me about time end of newspaper, time end of newspaper
141,I need a reminder for November 2017,Not Found
142,Thanks for this awesome reminder  ,Not Found
143,Remind me of vedant appointment cardiologist at 11 am on21 november, vedant appointment cardiologist
144,Can you tell how to set dnd,Not Found
145,remind me to wish chiriya, wish chiriya 1
146,Remind me to attend Yashraj s engagement,Not Found
147,Remind me my lpg Botel booking, lpg Botel booking
148,Remind me to buy excel matic today   8 00 pm, buy excel matic
149,Pls remind me to attend marriage on 21 January 9 am of Patel at keshavbag party plot, attend marriage
150,Can u pls set an alarm for 8 in the morning for tomorrow,Not Found
151,Remind me on 7th January at 8 pm for TV program, tv program
152,Hi Good Morning   Thanks for this assistance  Yes pls help me out with to do list,Not Found
153,Old remember and this same,Not Found
154,Hey can you remind me every 1 hour from 8am to 12 pm everday ,Not Found
155,Sure i will aftr wkeup call, wkeup call
156,Remind me to pack for my college by tomorrow 5pm, pack for my college
157,I am done with my schedule,Not Found
158,Remind me about it rectification, it rectification
159,Amd please remind me to do microbial metabolism at 11am today, do microbial metabolism
160,Just remind me every 1 of every month,Not Found
161,Today 745 am  pl remind me about serahs birth certificate, serahs birth certificate
162,tell me about this, this
163,Remind me for Monday s interview with govt of India, govt
164,Plz remind me only in afternoon,Not Found
165,Thank u soooo much for reminding me  , soooo much reminding
166,OK   I am about to do it  , do it
167,Abhi tho remind kiya dhas minute ke pehle  ,Not Found
168,Everyday reminder,Not Found
169,Three alarms,Not Found
170,Also  Plz remind me to collect diary from shop tomorow at 7 30 pm, collect diary from shop
171,Hey  could you remind me to wish mom on 12th dec  say 8 30 AM, wish mom
172,Remind me for recharge, recharge
173,Please remind me about my bike service to be given on 28 th of thismonth , my bike service to be given
174,Plz remind every year,Not Found
175,Please set a general reminder every hour  please call,Not Found
176,Can you Please set a reminder for tomorrow,Not Found
177,Please set a reminder,Not Found
178,Can I get two calls ,Not Found
179,Also I need to deposit 20K in my savings account for recurring deposit on 20th  please remind me on 19th at 10am, deposit 20K
180,Plz set a reminder to watch channel, watch channel 1
181,Hey sis do remind me on 11th of Jan 1 more to go 4 Amitesh birthday, go 1 Amitesh birthday
182,Can I plz make this reminder for whole week ,Not Found
183,Pl remind today at 8 pm to keep blanl cheque, keep blanl cheque
184,What was my reminder of today 10 am,Not Found
185,Mere 2no reminder active hai  ,Not Found
186,Remind me to eat egg at 5 45 PM today , eat egg
187,Shraddha another one reminder please can you do this ,Not Found
188,Plz remind me about today s tasks ,Not Found
189,Ok please send me the reminder,Not Found
190,Give me a reminder to send mail by 10 40 now, send mail
191,So WL u b available 24x7 means if i set a reminder late night thn ,Not Found
192,Deactivate reminder,Not Found
193,Remind me to collect collect the brail from the blind school on 14, collect collect the brail from the blind school
194,Why i have a call from haptik , call
195,Remind me to take bath at 12 30 Today, take bath
196,Remind me of pavan cheated upon james, pavan cheated upon james
197,Please deactivate all alarms, deactivate all alarms
198,Is it possible to remind me everyday ,Not Found
199,Can u set reminder for me  ,Not Found
200,Only reminder,Not Found
201,Could you please remind me to keep the money in kitchen tomorrow at around 10 40am, keep the money in kitchen
202,Need another reminder to set,Not Found
203,Ok thanks for remember,Not Found
204,Please message me instead of calling, calling 1
205,18dec 12 00 pm schedule Pintu didi lunch, didi lunch
206,Please tell us about haptik software, haptik software
207,1 30 pm Reminder  shankar test, shankar test
208,There were some of my reminders for this month on other phone and now I have a just changed,Not Found
209,8 00 am,Not Found
210,Your reminder is 1 day reminder,Not Found
211,Alarms after 8 pm also needed,Not Found
212,This is tomorrow s study schedule,Not Found
213,Pls make sure all my reminder r with the content, r
214,thx for reminding,Not Found
215,Yes i want u to remind me that every day,Not Found
216,Remind me to send my wife a gift, send my wife a gift
217,Sorry   Got a little late  Will schedule my tasks later ,Not Found
218,Reminder after 15 min,Not Found
219,Remind me on 10th Dec morning 4am to take gold flower s and bro mariage clothes , clothes
220,Remind me to uninstall you, uninstall you
221,Also remind me to check harish s computer ,Not Found
222,Rahulji HI calling at 7pm today 7891044451, Rahulji calling
223,Can u give a fake call, give a fake call
224,I have got 1 more reminder,Not Found
225,Thanks for reminding me,Not Found
226,Reminder Appointment for driving licenses, appointment driving licenses
227,Please remind me to repair my wife s phone at 10am tomorrow, repair my wife phone
228,Actually set a alarm for 5 tomorrow morning  ,Not Found
229,Yup  Tysm for reminder ,Not Found
230,Set 10 am to 10 pm,Not Found
231,Can u like play a song rather than calling, play a song rather than calling
232,Remind me tomorrow for visiting new house, visiting new house
233,Date  November 21  2016 Time  12 30 PM,Not Found
234,Sorry please make it 8 45 pm for Reminder,Not Found
235,Set a reminder at 8 am as well,Not Found
236,Remind me after another half an hour,Not Found
237,Remind me to check a website in two days, check a website
238,Sould i have to recieve the call , recieve the call
239,Can you just send me reminders through SMS , reminders
240,Reminder on Monday at 11 am to go to guru Ji, go to guru ji
241,I need a call at that time,Not Found
242,Coll me to remind,Not Found
243,Can u plz remind me the same tomorrow at 2pm, same
244,3 reminders please,Not Found
245,I need an alarm,Not Found
246,Can you set an alarm at 9 pm,Not Found
247,Can you tell me if i have any reminders set , have any reminders
248,Plz remind from 8 00 am to 10 00 pm,Not Found
249,Also remind me to cal Daya handloom on 16 11 2016 at 11 30am, cal Daya handloom
250,Can you please remind me tomorrow at 9pm to start research work, start research work 1
251,Reminder was set up at 6,Not Found
252,Remind me abt tuition at 8 15, tuition
253,I need to set a reminder,Not Found
254,Shave and carry shaving kit reminder tomorrow at 815 am and again at 830 am, carry shaving
255,Reminder  In the morning by 9 30a m to check out Vodafone bill payment, check out vodafone bill payment
256,Remind me at 7 pm today for massage, massage
257,Remind me at 8 45 am today,Not Found
258,Set a reminder for 1 20 pm,Not Found
259,Remind me about take a test at 9 am, take a test
260,Will you call me even if iam online on haptik, iam online
261,Please set a reminder for 5th jan 17 for to ask ritika for balance confirmation circularisation, ask ritika for balance confirmation circularisation
262,Remind me to get some info about dentistry  Tomorrow 11 am, get some info about dentistry
263,Remind me on 7 Nov 12pm for Venus payment , Venus payment
264,Remind me about diwo today  5pm, diwo
265,Hi  Remind me at 2 45pm today to leave for driving class, leave for driving class
266,Set alarm at 6 15am,Not Found
267,By call ,Not Found
268,Set a reminder on Thursday and Friday at 7 and 8 pm,Not Found
269,Friday evening 6o clock make a reminder of reminding chetan sir for the gift, reminding chetan sir for the gift
270,Reminder me for IAS application form, ias application form
271,Hi remind me of sending important message to my teacher at 4 30pm, sending important message to my teacher
272,Also Reminde me to cal maruti, cal maruti
273,Tell me one thing I m just lit bit curious about reminder call , call
274,Set reminder for raising travel request, raising travel request
275,Gm,Not Found
276,I want to set time myself, myself
277,Reminder  For what ,Not Found
278,Please remind to process hyderabad rent payment tomorrow 4pm, process hyderabad rent payment
279,I want a reminder to catch a flight tomorrow at 6pm, catch a flight
280,Remind me at 12 noon,Not Found
281,Remind me to shop in myntra tomorrow, shop in myntra
282,Two call with 15 min intervel,Not Found
283,Remind me to tell him abt job preferences at Pune and get advice, tell him abt job preferences pune get
284,Please would you remind me at 9 40 pm,Not Found
285,The reminder should be at 1215, be
286,Yeah but can you schedule it from sunfay,Not Found
287,Movie schedule for Sunday at inox Panajim,Not Found
288,I got reminder now,Not Found
289,Good morning Naqiyya,Not Found
290,Remind that ppt today 6 00pm,Not Found
291,Is there a reminder tone,Not Found
292,Call Deepak on 9 A M tomorrow, call deepak
293,Reminder to give money back to vel, give money back to vel
294,i want sms reminder every 1 hour 2 min  from 8 00 pm,Not Found
295,I want to set up reminder,Not Found
296,Call me at 6 30am, call
297,Set me a reminder to wish my friend birthday on 10th December, wish my friend birthday
298,Remind me at 2 30 pm that it s 27 ,Not Found
299,Why general  I need specific reminder with the task discription,Not Found
300,Remind me to go to movie dangal at 7pm, go to movie dangal
301,Do you know what to remind me about,Not Found
302,Could u pls set a reminder for me,Not Found
303,Remind me to message ANIL PIE on 27th morning at 10 00 am, message anil PIE
304,Can u tell me something about u , u
305,Visit puma store reminder at 630pm today, puma
306,Can you please give a call around 4  30 pm IST, a call
307,Reminde me aftr 1 hour,Not Found
308,Do we need internet for Marvel Future fight , Marvel future
309,Could you please remind me for wish my friend for birthday  today at 9am, wish my friend for birthday
310,set a reminder for me,Not Found
311,Remind me today at 11 pm about sarkari noukari, sarkari noukari
312,Oh yes  But right now there is nothing that I would like to be reminded about  I will let you know if I need ,Not Found
313,Remind me to to go to Austria on 3 march, go to Austria on
314,Thank u,Not Found
315,1 2 tab of Stamlobeta at 9 30 AM  Ecospirin 150 mg by 2 00 PM and Tonact 40mg by 9 30 PM,Not Found
316,6am,Not Found
317,thanks for the remainder,Not Found
318,Remains Me about going to Yusof home on 9 30 am, going to Yusof home
319,And please remind me at sharp 8 30,Not Found
320,Ok thnx for reminding me,Not Found
321,Change my self study remainder from 12 00 pm to 10 15 am,Not Found
322,Remind me of gng to Suhas Arc by 12, gng to Suhas arc
323,Hi samreen remind me to have a walk per one hour, have a walk per
324,Please set reminder for 9 pm to pay lic premium, pay lic premium 1
325,Please remind me at 5 45,Not Found
326,I want the reminder from 10 am till 8 pm in the night at the interval of 1 hour,Not Found
327,Remind me at 2 42 pm today,Not Found
328,Reminder fr gym, gym
329,Remind me with notification,Not Found
330,Wish Birthday Name  Archana Atrawalkar Date  January 23  2017 Time  8 00 am,Not Found
331,Thnx 2 remind me,Not Found
332,Remind me of calling at vyas classes tomorrow at 10 30 am, calling at vyas classes
333,Remind me evening time provide some data to a person, data to a person
334,Today 7pm remind to go to see office, go to see office
335,Can you remind me for,Not Found
336,Remind me to book train ticket at 1030, book train ticket
337,A reminder a 7 pm as well,Not Found
338,Add alarm,Not Found
339,Could you please remind me for on January 7 for watching sherlock holmes season 4 on axn, watching sherlock holmes season 1
340,Set a reminder at 1 00 pm to get ready for class, get ready for class
341,Pleade tell me about alto and wagonR, alto and wagonR
342,Remind me to go to bhagyashrees place  8 20, go to bhagyashrees place
343,Can u remind somebody else too on my behalf , else too my
344,Put up a general reminder for  form omkar  at 8 30am tomorrow, form omkar
345,If I m offline then also u reminds me,Not Found
346,Remind me of reading newspaper loudly, reading newspaper loudly
347,But how to indicate which schedule is this, which schedule
348,7 00 am,Not Found
349,Ring  ,Not Found
350,Yes I would like you to remind me everyday starting from tomorrow,Not Found
351,Who is better  Sir Dhruneal or Mr  Doshi , sir Dhruneal or mr Doshi
352,How to manage reminders, manage reminders
353,Dismissed schedule ,Not Found
354,Set reminder for today on 7 20pm,Not Found
355,Can u plz remind me for a webinar at 4pm today, a webinar
356,Reminder for Sunday 15 Jan birthday party for friend  s daughter,Not Found
357,Set reminder for 9 45am 9 50am  9 55 am  10 00 am  10 05 am tomorrow,Not Found
358,Will u ring, ring
359,On 2 Jan around 9pm,Not Found
360,I want a reminder every Friday by 9 00 pm that I have practicals on Saturday, practicals
361,Actually I have to email them  Remind me please, email
362,So how you will remind me ,Not Found
363,Remind me at 2 30 pm today for NRI account , NRI account
364,Sory Sory unknowingly I pressed it again jus one reminder is enuf,Not Found
365,Can u help me remind my boyfriends birthday whc is on 22dec, boyfriends birthday whc is
366,Set Alarm from 4 40AM to 5 00AM  today  5 minutes difference,Not Found
367,Remind me at 11 55am about lenovo fab sell on Flipkart, lenovo fab sell on flipkart
368,Can you remind me to send an email to Raghu tomorrow morning   10am, send an email to Raghu
369,Call me at 6 am and 6 40 am on 11 nobember, call
370,5 am,Not Found
371,Remind me tomorrow at 2 pm SBI CC bill payment, sbi cc bill payment
372,Remind me to charge battery at 8 am tomorrow, charge battery
373,Thanks for reminding me,Not Found
374,Remind me to pay rs 3500 to depak, pay rs 1111 to depak
375,Keep reminding me of studying hard  Tell me everytime that I have to be a Good Doctor , a doctor
376,CAn u pls dismiss this reminder,Not Found
377,Set Alarm from 4 40AM to 5 00AM  today  2 minutes difference,Not Found
378,Calling tomorrow rakesh kumar Jain at 12 30 pm, calling kumar jain
379,Remind me at 9pm today  I need to fill a forn, fill a forn
380,Nope  Thank u for reminding, reminding
381,Remind me onthis 9th to do recharge, do recharge
382,Remind me to make a presentation by 10am for debreif Spain trip, make a presentation Spain trip
383,Hi  pls change the reminders frequency to every 3 hours from the current frequency of 2 hrs,Not Found
384,I need this reminder every Saturday at the same time,Not Found
385,Tata sky recharge remind me on 7th Jan at 3 clock,Not Found
386,Schedule to meet imran by 9 30pm today, meet imran
387,I want to add one more b day reminder,Not Found
388,And what should go on my to do list , go
389,i would like this reminder every day,Not Found
390,Iam little bit lazy so u can set one more alarm of 8 15am ,Not Found
391,Call sanjay  rajesh today by 4 pm, call sanjay rajesh
392,Remind me to buy book tomorro at 8 00 am, buy book tomorro
393,Would like to set one more reminder,Not Found
394,Remind me to take print out of my flight tickets, take print out of my flight tickets
395,Remind me to go to washroom at 3am, go to washroom
396,Remind me in 2 00pm clock,Not Found
397,For both the reminders, both the reminders
398,I want one reminder,Not Found
399,Plz remind me for booking of Train ticket today at 10 45, booking of train ticket
400,I m getting irrigating from lot of calls from haptik,Not Found
401,I can remember now by my own,Not Found
402,Pls set an alarm for 8 am,Not Found
403,Remind me to have sex with my girlfriend in two minutes, have sex with my girlfriend
404,Remind me at 4pm today to work on education, work on education
405,Remind me today at 1 40 pm for scooper, scooper
406,Morning  Thanks for the reminder have a great day, a great
407,Remind m tom at 11 to cal prof meena, cal prof meena
408,Can you remind me to do German assignments tomorrow please  , do German assignments
409,Remind me at 3 pm,Not Found
410,Thanks for this call, call
411,It would be helpful if you could remind me to leave 45 minutes in advance  as I am leaving from Gurugram to Saket ,Not Found
412,Remind me   2 30pm today,Not Found
413,Thanks  m about to have , have 1
414,Set a reminder of bathing,Not Found
415,Thanks for the reminder Karan   ,Not Found
416,Remind me that i have to whatsapp manju aunty, whatsapp manju aunty
417,Any alarm tone ,Not Found
418,Pls remind me to get 2 passport size photo for adhaar work , get 1 passport size photo for adhaar work
419,Do u remember me,Not Found
420,please remind me after 2 hrs,Not Found
421,You remind me at 6 pm 4 jan,Not Found
422,Been busy  sorry about that ,Not Found
423,Hii remind me to download the splendid app, download the splendid app
424,Can you help me with weekly reminders of reading something, weekly reminders of reading something
425,Remember its really important for me  ,Not Found
426,I need a reminder on 10 June 2017 about shilpi birthday, shilpi birthday
427,Remind me to go office at 12  30 pm tomorrow, go office
428,Can you remind me to send quote for incastt machines, send quote for incastt machines
429,Remind me to go to post office on 12th Jan 2017 at 9 am, go to post office
430,Please set up 2nd alarm also for me,Not Found
431,I need repeat alarm in next 5 mins, repeat
432,Remind me to take the tickets on 18th January 2017 at 3 pm  Thank you , take the tickets
433,Remind me the same in an hour please,Not Found
434,Set it to till 9 pm,Not Found
435,Thanks Mahesh for reminder,Not Found
436,Icon finder reminder still pending on 1st of the month,Not Found
437,please remind the above tomorrow at same time,Not Found
438,I need regular to remind me,Not Found
439,Remind me for KEB bill, KEB bill
440,Can you remind me to take my food from the fridge tomorrow, take my food from the fridge
441,Set reminder foe 1 45 pm today,Not Found
442,Tommorow 1 pm Reminder,Not Found
443,Could you set it till 12 am ,Not Found
444,Can you please help me create a schedule for the days,Not Found
445,Set remi der after 10 min, remi der
446,I changed my number so I need all my remainders to be sent to my new number is that possible,Not Found
447,Set a reminder for xrd slot on friday, xrd slot
448,Can u set a reminder for the 3rd of feb,Not Found
449,Jai jinendra Thnx shrdha ji for my today schedule,Not Found
450,Remind me to write the question paper in the morning, write the question paper
451,Who kept alarm at this time shardha, kept alarm
452,Hey Ples Remind me pop drawing and vanity drg At 1pm, drawing and vanity drg
453,Just remind me to collect books at 12 30, collect books
454,Remind me tomorrow to collect my marks cards , collect my marks cards
455,Another 2 alarms at 8 00am   8 20am also  Plz, another 1 alarms
456,I know very well about ur haptik how to use but when to use i will decide,Not Found
457,Remind tomorrow at 11 am about talking to bindu n shiv about the customer complaint , bindu n shiv about the customer complaint
458,make medic reminder at 11 30 am,Not Found
459,Set an alarm at 7 30 pm today ,Not Found
460,Remind me that I should get ready early tomorrow and go to temple in the morning, get ready go temple
461,Give me a call   8 pm , give me a call
462,Remind me to type report at 9 pm today, type report
463,Can you please adjust the schedule,Not Found
464,Remind me to deposit PPF amount at 3 pm today, deposit ppf amount
465,Plz remind me before every match,Not Found
466,Can u set this every day,Not Found
467,Hi,Not Found
468,Remind me to take puneet construction brief at 12pm, take puneet construction brief
469,Set reminder for insurance payment on 15th February, insurance payment
470,Remind me to go to bank today at 3 00 PM, go to bank
471,Can you change my reminders, my reminders
472,Remind me tommorow in morning about my summer training report file submission, my summer training report file submission
473,Remind me on 18th jan 2 atttend seminar dated 19th jan Thursday, seminar
474,Can you change the reminder time for tommorow s meeting to 9 30  ,Not Found
475,Remind me to buy Gehu today at 1pm, buy gehu
476,why havent uh called me up for my alarm, my alarm
477,Remind me to take my lab coat at tomorrow morning 8 am, take my lab coat
478,Set at 8 30,Not Found
479,  Agar Mujhe Pani Peene Ke Liye Koi reminder set karo,Not Found
480,Kindly reschedule the alarm for 7 am,Not Found
481,Thankyou for the reminder ,Not Found
482,Call to srinath at 2om, call srinath
483,Tmrw I go to church at 11 30 pm  Create a schedule,Not Found
484,Remind me on 13th Jan to meet mr Saboo next day, meet mr Saboo
485,Yeah can i pick up that call and will some one please say good morning mick have a nice day,Not Found
486,ILC remainder,Not Found
487,Can u remember me about to atten alluminai on 3 rd December 9 00 clock am, atten alluminai
488,Deactivate all my alarms and reminders , deactivate all my alarms and reminders
489,Set reminder at 6 pm tomorrow to go driving classes, go driving classes 1
490,Hi  there is a change in schedule , a change
491,Dish Tv recharge reminder set karna hai,Not Found
492,I wana set reminder,Not Found
493,Remind to pay 9009 to Vasanti textiles tomo at 12pm, pay 1111 to Vasanti textiles tomo
494,Remind me to take a cake home at 7pm today, take a cake home
495,khushboo could you remind me to eat every 2 5 hours starting from 8am today , eat
496,Oops need a reminder an hour bfr plz,Not Found
497,Can you please set me alarm,Not Found
498,Can you remind me today to wish tony stark a happy birthday, wish tony stark a happy birthday
499,Can you set reminder for my friend, my friend
